"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
5,12524,"s_cbranch_execz 19",8,32,0,32,""
5,12528,"v_bfe_u32 v99, v113, 16, 1",8,40,8,0,""
5,12536,"s_movk_i32 s2, 0x7fff",8,32,0,0,""
5,12540,"v_add3_u32 v99, v99, v113, s2",8,32,0,56,""
5,12548,"v_or_b32_e32 v100, 0x400000, v113",8,32,0,0,""
5,12556,"v_cmp_u_f32_e64 s[2:3], v113, v113",8,32,0,0,""
5,12564,"v_mul_lo_u32 v98, v98, s5",8,40,8,0,""
5,12572,"s_nop 0",8,32,32,0,""
5,12576,"v_cndmask_b32_e64 v100, v99, v100, s[2:3]",8,36,4,4,""
5,12584,"v_ashrrev_i32_e32 v99, 31, v98",8,32,0,0,""
5,12588,"v_lshl_add_u64 v[98:99], v[98:99], 1, v[114:115]",8,44,12,0,""
5,12596,"global_store_short_d16_hi v[98:99], v100, off offset:64",8,48,16,64,""
5,12604,"s_or_b64 exec, exec, s[6:7]",8,32,0,0,""
5,12608,"v_or_b32_e32 v100, 32, v132",8,32,0,0,""
5,12612,"s_and_saveexec_b64 s[6:7], vcc",8,36,4,0,""
5,12616,"s_cbranch_execz 399",8,32,0,32,""
5,12620,"v_lshl_add_u64 v[98:99], v[0:1], 1, s[8:9]",8,52,20,0,""
5,12628,"v_cmp_gt_i32_e64 s[2:3], s4, v100",8,32,0,0,""
5,12636,"s_and_saveexec_b64 s[10:11], s[2:3]",8,32,0,128,""
5,12640,"s_cbranch_execz 19",8,32,0,32,""
5,12644,"v_bfe_u32 v101, v82, 16, 1",8,48,16,0,""
5,12652,"s_movk_i32 s2, 0x7fff",8,36,4,0,""
5,12656,"v_add3_u32 v101, v101, v82, s2",8,56,24,0,""
5,12664,"v_or_b32_e32 v102, 0x400000, v82",8,32,0,0,""
5,12672,"v_cmp_u_f32_e64 s[2:3], v82, v82",8,40,8,0,""
5,12680,"s_nop 1",8,64,64,0,""
5,12684,"v_cndmask_b32_e64 v82, v101, v102, s[2:3]",8,32,0,0,""
5,12692,"v_mul_lo_u32 v102, v100, s5",8,32,0,0,""
5,12700,"v_ashrrev_i32_e32 v103, 31, v102",8,32,0,0,""
5,12704,"v_lshl_add_u64 v[102:103], v[102:103], 1, v[98:99]",8,44,12,0,""
5,12712,"global_store_short_d16_hi v[102:103], v82, off",8,40,4,64,""
5,12720,"s_or_b64 exec, exec, s[10:11]",8,32,0,0,""
5,12724,"v_or_b32_e32 v82, 33, v132",8,32,0,0,""
5,12728,"v_cmp_gt_i32_e64 s[2:3], s4, v82",8,52,20,0,""
5,12736,"s_and_saveexec_b64 s[10:11], s[2:3]",8,32,0,128,""
5,12740,"s_cbranch_execz 18",8,32,0,32,""
5,12744,"v_bfe_u32 v101, v83, 16, 1",8,32,0,0,""
5,12752,"s_movk_i32 s2, 0x7fff",8,32,0,0,""
5,12756,"v_mul_lo_u32 v82, v82, s5",8,36,4,0,""
5,12764,"v_add3_u32 v101, v101, v83, s2",8,36,4,32,""
5,12772,"v_or_b32_e32 v102, 0x400000, v83",8,32,0,0,""
5,12780,"v_cmp_u_f32_e64 s[2:3], v83, v83",8,44,12,0,""
5,12788,"v_ashrrev_i32_e32 v83, 31, v82",8,32,0,0,""
5,12792,"v_lshl_add_u64 v[82:83], v[82:83], 1, v[98:99]",8,40,8,0,""
5,12800,"v_cndmask_b32_e64 v101, v101, v102, s[2:3]",8,32,0,4,""
5,12808,"global_store_short_d16_hi v[82:83], v101, off",8,32,0,64,""
5,12816,"s_or_b64 exec, exec, s[10:11]",8,32,0,0,""
5,12820,"v_or_b32_e32 v82, 34, v132",8,32,0,0,""
5,12824,"v_cmp_gt_i32_e64 s[2:3], s4, v82",8,40,8,0,""
5,12832,"s_and_saveexec_b64 s[10:11], s[2:3]",8,36,4,128,""
5,12836,"s_cbranch_execz 19",8,32,0,32,""
5,12840,"v_bfe_u32 v83, v84, 16, 1",8,64,32,0,""
5,12848,"s_movk_i32 s2, 0x7fff",8,32,0,0,""
5,12852,"v_add3_u32 v83, v83, v84, s2",8,56,24,0,""
5,12860,"v_or_b32_e32 v101, 0x400000, v84",8,32,0,12,""
5,12868,"v_cmp_u_f32_e64 s[2:3], v84, v84",8,40,8,0,""
5,12876,"v_mul_lo_u32 v82, v82, s5",8,32,0,0,""
5,12884,"s_nop 0",8,32,32,0,""
5,12888,"v_cndmask_b32_e64 v84, v83, v101, s[2:3]",8,36,4,0,""
5,12896,"v_ashrrev_i32_e32 v83, 31, v82",8,32,0,0,""
5,12900,"v_lshl_add_u64 v[82:83], v[82:83], 1, v[98:99]",8,44,12,0,""
5,12908,"global_store_short_d16_hi v[82:83], v84, off",8,36,4,64,""
5,12916,"s_or_b64 exec, exec, s[10:11]",8,32,0,0,""
5,12920,"v_or_b32_e32 v82, 35, v132",8,32,0,0,""
