M,N,K,tile,tflops,median_ms,avg_ms,min_ms,std_ms,max_err,status,iters,hipblaslt_tflops,ratio_pct
5376,7936,64,hk_128x128x64,90.7,0.0602,0.0588,0.0546,0.0025,0.0020,PASS,10,74.5,121.8
5376,7936,64,hk_256x256x64,102.0,0.0536,0.0531,0.0482,0.0048,0.0020,PASS,10,74.5,136.8
5376,7936,256,hk_128x128x64,222.9,0.0980,0.0973,0.0922,0.0032,0.0039,PASS,10,208.8,106.7
5376,7936,256,hk_256x256x64,251.8,0.0868,0.0867,0.0844,0.0019,0.0039,PASS,10,208.8,120.6
5376,7936,1024,hk_128x128x64,354.5,0.2465,0.2464,0.2378,0.0051,0.0078,PASS,10,403.7,87.8
5376,7936,1024,hk_256x256x64,397.0,0.2201,0.2205,0.2176,0.0025,0.0078,PASS,10,403.7,98.3
5376,8064,512,hk_128x128x64,312.3,0.1422,0.1424,0.1404,0.0018,0.0078,PASS,10,271.7,114.9
5376,8064,512,hk_192x192x64,365.4,0.1215,0.1213,0.1187,0.0018,0.0078,PASS,10,271.7,134.5
5376,8192,1024,hk_128x128x64,365.0,0.2471,0.2456,0.2343,0.0081,0.0078,PASS,10,472.6,77.2
5376,8192,1024,hk_256x256x64,406.2,0.2220,0.2224,0.2207,0.0016,0.0078,PASS,10,472.6,86.0
5504,5760,512,hk_128x128x64,287.2,0.1130,0.1130,0.1109,0.0011,0.0078,PASS,10,223.7,128.4
5504,5760,8192,hk_128x128x64,371.1,1.3995,1.3859,1.3243,0.0270,0.0312,PASS,10,542.9,68.4
5504,5888,512,hk_128x128x64,288.3,0.1151,0.1164,0.1130,0.0034,0.0078,PASS,10,303.6,94.9
5504,6144,128,hk_128x128x64,153.7,0.0563,0.0570,0.0546,0.0023,0.0039,PASS,10,154.1,99.7
5504,6400,128,hk_128x128x64,150.9,0.0598,0.0601,0.0579,0.0023,0.0039,PASS,10,136.3,110.7
5504,6528,64,hk_128x128x64,95.7,0.0481,0.0484,0.0467,0.0020,0.0020,PASS,10,74.2,128.9
5504,6784,512,hk_128x128x64,297.5,0.1285,0.1287,0.1264,0.0019,0.0078,PASS,10,265.7,111.9
5504,7040,4096,hk_128x128x64,397.1,0.7994,0.8010,0.7708,0.0204,0.0156,PASS,10,523.0,75.9
5504,7040,8192,hk_128x128x64,386.6,1.6420,1.6501,1.6038,0.0367,0.0312,PASS,10,529.3,73.1
5504,7680,2048,hk_128x128x64,387.6,0.4467,0.4434,0.4240,0.0108,0.0156,PASS,10,567.9,68.3
5504,7936,1024,hk_128x128x64,356.1,0.2512,0.2492,0.2368,0.0048,0.0078,PASS,10,438.5,81.2
5568,5568,192,hk_192x192x64,227.0,0.0524,0.0522,0.0507,0.0008,0.0039,PASS,10,166.9,136.0
5632,5632,128,hk_128x128x64,145.9,0.0556,0.0560,0.0549,0.0011,0.0039,PASS,10,146.1,99.9
5632,5632,128,hk_256x256x64,177.8,0.0457,0.0458,0.0437,0.0016,0.0039,PASS,10,146.1,121.7
5632,6144,128,hk_128x128x64,157.0,0.0564,0.0563,0.0555,0.0005,0.0039,PASS,10,159.0,98.8
5632,6144,128,hk_256x256x64,182.6,0.0485,0.0490,0.0477,0.0018,0.0039,PASS,10,159.0,114.9
5632,6656,256,hk_128x128x64,230.0,0.0834,0.0841,0.0821,0.0023,0.0039,PASS,10,257.4,89.4
5632,6656,256,hk_256x256x64,287.7,0.0667,0.0666,0.0656,0.0006,0.0039,PASS,10,257.4,111.8
5632,6784,2048,hk_128x128x64,358.5,0.4365,0.4363,0.4269,0.0075,0.0156,PASS,10,461.6,77.7
5632,6912,128,hk_128x128x64,159.3,0.0625,0.0624,0.0612,0.0007,0.0039,PASS,10,158.6,100.4
5632,6912,128,hk_256x256x64,197.9,0.0504,0.0509,0.0498,0.0018,0.0039,PASS,10,158.6,124.8
5632,7680,256,hk_128x128x64,231.8,0.0955,0.0956,0.0934,0.0014,0.0039,PASS,10,254.4,91.1
5632,7680,256,hk_256x256x64,253.2,0.0875,0.0874,0.0851,0.0016,0.0039,PASS,10,254.4,99.5
5632,7680,8192,hk_128x128x64,389.8,1.8179,1.8243,1.8093,0.0146,0.0312,PASS,10,564.8,69.0
5632,7680,8192,hk_256x256x64,509.7,1.3903,1.3834,1.3312,0.0352,0.0312,PASS,10,564.8,90.3
5632,8192,8192,hk_128x128x64,391.1,1.9329,1.9335,1.9007,0.0153,0.0312,PASS,10,591.1,66.2
5632,8192,8192,hk_256x256x64,538.3,1.4043,1.4060,1.3540,0.0379,0.0312,PASS,10,591.1,91.1
5760,5760,6144,hk_128x128x64,339.5,1.2008,1.1829,1.1228,0.0377,0.0312,PASS,10,527.3,64.4
5760,5760,6144,hk_192x192x64,497.8,0.8190,0.8197,0.8040,0.0132,0.0312,PASS,10,527.3,94.4
5760,6144,256,hk_128x128x64,231.8,0.0782,0.0790,0.0772,0.0021,0.0039,PASS,10,230.8,100.4
5760,6144,256,hk_192x192x64,247.9,0.0731,0.0736,0.0724,0.0013,0.0039,PASS,10,230.8,107.4
5760,6400,1024,hk_128x128x64,358.8,0.2104,0.2090,0.2051,0.0030,0.0078,PASS,10,417.4,85.9
5760,7040,2048,hk_128x128x64,356.0,0.4666,0.4650,0.4514,0.0085,0.0156,PASS,10,496.9,71.6
5760,7168,512,hk_128x128x64,281.6,0.1501,0.1502,0.1474,0.0016,0.0078,PASS,10,364.0,77.4
5760,7808,1024,hk_128x128x64,335.8,0.2743,0.2741,0.2622,0.0059,0.0078,PASS,10,334.2,100.5
5760,8064,1024,hk_128x128x64,344.3,0.2763,0.2764,0.2641,0.0050,0.0078,PASS,10,352.0,97.8
5760,8064,1024,hk_192x192x64,400.6,0.2375,0.2372,0.2355,0.0016,0.0078,PASS,10,352.0,113.8
5760,8064,8192,hk_128x128x64,391.3,1.9446,1.9529,1.9215,0.0299,0.0312,PASS,10,549.6,71.2
5760,8064,8192,hk_192x192x64,491.4,1.5488,1.5592,1.4958,0.0652,0.0312,PASS,10,549.6,89.4
5888,5888,8192,hk_128x128x64,386.9,1.4681,1.4727,1.4367,0.0346,0.0312,PASS,10,540.7,71.6
5888,5888,8192,hk_256x256x64,544.8,1.0426,1.0463,0.9643,0.0530,0.0312,PASS,10,540.7,100.8
5888,6016,1024,hk_128x128x64,347.2,0.2089,0.2106,0.2057,0.0046,0.0078,PASS,10,338.2,102.7
5888,6656,512,hk_128x128x64,306.3,0.1310,0.1321,0.1297,0.0021,0.0078,PASS,10,339.1,90.3
5888,6656,512,hk_256x256x64,392.2,0.1023,0.1027,0.1017,0.0012,0.0078,PASS,10,339.1,115.7
5888,7040,1024,hk_128x128x64,358.6,0.2367,0.2364,0.2312,0.0032,0.0078,PASS,10,351.1,102.1
5888,8192,4096,hk_128x128x64,411.8,0.9595,0.9495,0.9155,0.0271,0.0156,PASS,10,543.7,75.7
5888,8192,4096,hk_256x256x64,557.3,0.7090,0.7148,0.6949,0.0168,0.0156,PASS,10,543.7,102.5
6016,6272,4096,hk_128x128x64,395.3,0.7820,0.7891,0.7607,0.0264,0.0156,PASS,10,505.1,78.3
6016,6528,2048,hk_128x128x64,401.7,0.4005,0.3999,0.3877,0.0082,0.0156,PASS,10,451.9,88.9
6016,6528,4096,hk_128x128x64,392.8,0.8190,0.8117,0.7684,0.0275,0.0156,PASS,10,489.5,80.2
6016,6656,128,hk_128x128x64,161.8,0.0633,0.0636,0.0628,0.0012,0.0039,PASS,10,142.1,113.9
6016,6784,8192,hk_128x128x64,368.4,1.8151,1.8127,1.7652,0.0409,0.0312,PASS,10,523.1,70.4
6016,6912,64,hk_128x128x64,101.1,0.0526,0.0531,0.0522,0.0015,0.0020,PASS,10,84.6,119.6
6016,7040,512,hk_128x128x64,294.9,0.1471,0.1470,0.1426,0.0029,0.0078,PASS,10,248.8,118.5
6016,7296,128,hk_128x128x64,163.8,0.0686,0.0688,0.0681,0.0007,0.0039,PASS,10,103.8,157.7
6016,7424,1024,hk_128x128x64,337.1,0.2713,0.2674,0.2570,0.0058,0.0078,PASS,10,420.8,80.1
6016,8192,64,hk_128x128x64,100.8,0.0626,0.0625,0.0613,0.0006,0.0020,PASS,10,83.2,121.1
6144,6144,64,hk_128x128x64,96.9,0.0499,0.0504,0.0488,0.0020,0.0020,PASS,10,93.9,103.2
6144,6144,64,hk_192x192x64,109.1,0.0443,0.0447,0.0436,0.0013,0.0020,PASS,10,93.9,116.2
6144,6144,64,hk_256x256x64,119.2,0.0405,0.0413,0.0398,0.0027,0.0020,PASS,10,93.9,127.0
6144,6144,1536,hk_128x128x64,336.1,0.3450,0.3461,0.3400,0.0043,0.0156,PASS,10,526.0,63.9
6144,6144,1536,hk_192x192x64,422.3,0.2746,0.2719,0.2602,0.0073,0.0156,PASS,10,526.0,80.3
6144,6144,1536,hk_256x256x64,503.8,0.2302,0.2296,0.2183,0.0068,0.0156,PASS,10,526.0,95.8
6144,6528,256,hk_128x128x64,225.7,0.0910,0.0912,0.0897,0.0012,0.0039,PASS,10,213.2,105.9
6144,6528,256,hk_192x192x64,266.8,0.0770,0.0770,0.0761,0.0005,0.0039,PASS,10,213.2,125.1
6144,6528,1024,hk_128x128x64,325.2,0.2526,0.2513,0.2429,0.0038,0.0078,PASS,10,368.2,88.3
6144,6528,1024,hk_192x192x64,421.6,0.1948,0.1944,0.1929,0.0008,0.0078,PASS,10,368.2,114.5
6144,6912,64,hk_128x128x64,93.4,0.0582,0.0592,0.0571,0.0019,0.0039,PASS,10,92.8,100.6
6144,6912,64,hk_192x192x64,116.4,0.0467,0.0466,0.0458,0.0005,0.0039,PASS,10,92.8,125.4
6144,6912,64,hk_256x256x64,111.0,0.0490,0.0494,0.0484,0.0014,0.0039,PASS,10,92.8,119.6
6144,7424,64,hk_128x128x64,96.1,0.0608,0.0608,0.0596,0.0008,0.0020,PASS,10,86.0,111.7
6144,7424,64,hk_256x256x64,115.8,0.0504,0.0503,0.0496,0.0004,0.0020,PASS,10,86.0,134.7
6144,7808,8192,hk_128x128x64,398.4,1.9728,1.9810,1.9522,0.0398,0.0312,PASS,10,540.3,73.7
6272,6400,128,hk_128x128x64,162.2,0.0633,0.0643,0.0622,0.0021,0.0039,PASS,10,128.7,126.0
6272,6400,2048,hk_128x128x64,357.4,0.4600,0.4610,0.4540,0.0062,0.0156,PASS,10,492.0,72.6
6272,6656,512,hk_128x128x64,296.7,0.1441,0.1445,0.1404,0.0021,0.0078,PASS,10,328.9,90.2
6272,6656,4096,hk_128x128x64,394.2,0.8674,0.8628,0.8413,0.0158,0.0156,PASS,10,514.9,76.6
6272,6912,512,hk_128x128x64,304.9,0.1456,0.1453,0.1409,0.0035,0.0078,PASS,10,320.2,95.2
6272,7296,1024,hk_128x128x64,352.6,0.2658,0.2623,0.2529,0.0051,0.0078,PASS,10,380.9,92.6
6272,8192,64,hk_128x128x64,107.2,0.0613,0.0614,0.0592,0.0013,0.0020,PASS,10,87.1,123.1
6272,8192,4096,hk_128x128x64,412.5,1.0205,1.0252,0.9992,0.0220,0.0156,PASS,10,535.1,77.1
6400,6912,2048,hk_128x128x64,400.8,0.4521,0.4532,0.4339,0.0130,0.0156,PASS,10,518.0,77.4
6400,6912,2048,hk_256x256x64,469.9,0.3856,0.3863,0.3840,0.0030,0.0156,PASS,10,518.0,90.7
6400,7040,256,hk_128x128x64,228.2,0.1011,0.0997,0.0956,0.0025,0.0039,PASS,10,187.2,121.9
6400,7040,1024,hk_128x128x64,347.8,0.2653,0.2657,0.2594,0.0042,0.0156,PASS,10,397.3,87.5
6400,7424,2048,hk_128x128x64,365.0,0.5332,0.5327,0.5161,0.0073,0.0156,PASS,10,490.8,74.4
6400,7424,2048,hk_256x256x64,463.6,0.4198,0.4181,0.4032,0.0105,0.0156,PASS,10,490.8,94.5
6400,7552,8192,hk_128x128x64,393.2,2.0142,2.0167,1.9901,0.0262,0.0312,PASS,10,564.5,69.6
6400,7680,4096,hk_128x128x64,416.6,0.9665,0.9615,0.9375,0.0168,0.0156,PASS,10,560.9,74.3
6400,7680,4096,hk_256x256x64,538.3,0.7480,0.7532,0.7206,0.0307,0.0156,PASS,10,560.9,96.0
6400,7936,512,hk_128x128x64,316.2,0.1645,0.1648,0.1625,0.0021,0.0078,PASS,10,338.7,93.3
6400,7936,512,hk_256x256x64,382.4,0.1360,0.1357,0.1339,0.0009,0.0078,PASS,10,338.7,112.9
6400,8064,2048,hk_128x128x64,379.0,0.5577,0.5568,0.5422,0.0116,0.0156,PASS,10,491.9,77.0
6528,7040,512,hk_128x128x64,313.8,0.1499,0.1504,0.1477,0.0017,0.0078,PASS,10,246.3,127.4
6528,7168,128,hk_128x128x64,159.8,0.0750,0.0750,0.0720,0.0018,0.0039,PASS,10,154.3,103.5
6528,7296,4096,hk_128x128x64,403.1,0.9678,0.9785,0.9327,0.0336,0.0156,PASS,10,537.2,75.0
6528,7296,4096,hk_192x192x64,490.3,0.7958,0.7993,0.7739,0.0254,0.0156,PASS,10,537.2,91.3
6528,8064,256,hk_128x128x64,248.4,0.1085,0.1087,0.1080,0.0007,0.0039,PASS,10,195.0,127.4
6528,8064,256,hk_192x192x64,282.2,0.0955,0.0954,0.0939,0.0010,0.0039,PASS,10,195.0,144.8
6656,6784,128,hk_128x128x64,158.1,0.0731,0.0735,0.0713,0.0016,0.0039,PASS,10,117.6,134.4
6656,7040,256,hk_128x128x64,231.1,0.1038,0.1039,0.1023,0.0009,0.0039,PASS,10,169.7,136.2
6656,7168,8192,hk_128x128x64,388.0,2.0145,2.0171,1.9922,0.0263,0.0312,PASS,10,580.4,66.9
6656,7168,8192,hk_256x256x64,535.9,1.4585,1.4557,1.3839,0.0530,0.0312,PASS,10,580.4,92.3
6656,7424,4096,hk_128x128x64,407.8,0.9925,0.9957,0.9460,0.0343,0.0156,PASS,10,552.9,73.8
6656,7424,4096,hk_256x256x64,512.0,0.7907,0.7849,0.7407,0.0298,0.0156,PASS,10,552.9,92.6
6656,7552,2048,hk_128x128x64,370.5,0.5558,0.5523,0.5273,0.0182,0.0156,PASS,10,510.9,72.5
6656,7552,4096,hk_128x128x64,394.6,1.0436,1.0477,1.0196,0.0281,0.0156,PASS,10,524.4,75.2
6656,7680,8192,hk_128x128x64,384.5,2.1783,2.1685,2.1285,0.0243,0.0312,PASS,10,568.9,67.6
6656,7680,8192,hk_256x256x64,551.0,1.5201,1.5124,1.4596,0.0349,0.0312,PASS,10,568.9,96.9
6656,7808,1024,hk_128x128x64,361.9,0.2941,0.2923,0.2821,0.0057,0.0078,PASS,10,396.1,91.4
6656,7936,512,hk_128x128x64,314.6,0.1719,0.1700,0.1659,0.0031,0.0078,PASS,10,383.2,82.1
6656,7936,512,hk_256x256x64,394.6,0.1371,0.1373,0.1358,0.0010,0.0078,PASS,10,383.2,103.0
6784,7040,1024,hk_128x128x64,356.9,0.2740,0.2719,0.2621,0.0062,0.0078,PASS,10,382.3,93.4
6784,7552,256,hk_128x128x64,238.9,0.1098,0.1097,0.1062,0.0030,0.0039,PASS,10,193.2,123.7
6784,7808,64,hk_128x128x64,106.4,0.0637,0.0637,0.0628,0.0006,0.0020,PASS,10,93.0,114.4
6912,6912,256,hk_128x128x64,232.5,0.1052,0.1050,0.1039,0.0008,0.0039,PASS,10,243.2,95.6
6912,6912,256,hk_192x192x64,260.4,0.0939,0.0942,0.0932,0.0007,0.0039,PASS,10,243.2,107.1
6912,6912,256,hk_256x256x64,271.3,0.0902,0.0901,0.0892,0.0008,0.0039,PASS,10,243.2,111.6
6912,7680,4096,hk_128x128x64,403.9,1.0766,1.0830,1.0375,0.0280,0.0156,PASS,10,536.4,75.3
6912,7680,4096,hk_192x192x64,498.0,0.8733,0.8660,0.8293,0.0258,0.0156,PASS,10,536.4,92.8
6912,7680,4096,hk_256x256x64,541.5,0.8031,0.8101,0.7828,0.0266,0.0156,PASS,10,536.4,100.9
7040,7040,8192,hk_128x128x64,389.7,2.0834,2.0857,2.0525,0.0274,0.0312,PASS,10,550.1,70.8
7040,7296,4096,hk_128x128x64,414.6,1.0148,1.0203,0.9975,0.0200,0.0156,PASS,10,511.1,81.1
7040,7936,512,hk_128x128x64,325.7,0.1756,0.1764,0.1713,0.0036,0.0078,PASS,10,337.5,96.5
7168,7296,2048,hk_128x128x64,384.2,0.5575,0.5560,0.5335,0.0171,0.0156,PASS,10,514.6,74.7
7168,7552,64,hk_128x128x64,107.9,0.0642,0.0667,0.0618,0.0094,0.0039,PASS,10,88.2,122.3
7168,7552,512,hk_128x128x64,308.5,0.1797,0.1792,0.1739,0.0021,0.0078,PASS,10,336.1,91.8
7168,7680,1024,hk_128x128x64,341.8,0.3298,0.3277,0.3185,0.0052,0.0078,PASS,10,452.0,75.6
