"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
4,732928,"; _ZN2at6native29vectorized_elementwise_kernelILi8ENS0_11FillFunctorIN3c108BFloat16EEESt5arrayIPcLm1EEEEviT0_T1_",0,0,0,0,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)"
4,732928,"s_load_dwordx4 s[4:7], s[0:1], 0x0",56,280,52,7408,""
4,732936,"s_lshl_b32 s0, s2, 12",56,392,164,0,""
4,732940,"s_mov_b64 s[2:3], -1",56,392,128,0,""
4,732944,"s_waitcnt lgkmcnt(0)",56,7260,7260,0,""
4,732948,"s_sub_i32 s4, s4, s0",56,584,360,0,""
4,732952,"s_cmpk_gt_i32 s4, 0xfff",56,324,92,0,""
4,732956,"s_cbranch_scc0 23",56,232,0,216,""
4,732960,"s_ashr_i32 s1, s0, 31",56,500,276,888,""
4,732964,"s_lshl_b64 s[2:3], s[0:1], 1",56,228,0,0,""
4,732968,"s_pack_ll_b32_b16 s8, s5, s5",56,316,92,0,""
4,732972,"s_add_u32 s2, s6, s2",56,232,8,0,""
4,732976,"s_mov_b32 s9, s8",56,228,4,0,""
4,732980,"s_addc_u32 s3, s7, s3",56,228,4,0,""
4,732984,"v_lshlrev_b32_e32 v2, 4, v0",56,224,0,0,""
4,732988,"v_mov_b32_e32 v3, 0",56,224,0,0,""
4,732992,"s_mov_b32 s10, s8",56,224,0,0,""
4,732996,"s_mov_b32 s11, s8",56,228,4,0,""
4,733000,"v_mov_b64_e32 v[6:7], s[8:9]",56,228,4,0,""
4,733004,"v_lshl_add_u64 v[4:5], s[2:3], 0, v[2:3]",56,236,8,0,""
4,733012,"v_mov_b64_e32 v[8:9], s[10:11]",56,240,8,0,""
4,733016,"global_store_dwordx4 v2, v[6:9], s[2:3]",56,92104,91880,440,""
4,733024,"v_add_co_u32_e32 v2, vcc, 0x1000, v4",56,284,0,0,""
4,733032,"s_mov_b64 s[2:3], 0",56,280,0,836,""
4,733036,"s_nop 0",56,224,224,0,""
4,733040,"v_addc_co_u32_e32 v3, vcc, 0, v5, vcc",56,304,0,0,""
4,733044,"global_store_dwordx4 v[2:3], v[6:9], off",56,18068,17844,368,""
4,733052,"s_andn2_b64 vcc, exec, s[2:3]",56,272,0,0,""
4,733056,"s_cbranch_vccnz 70",56,276,4,176,""
4,733060,"v_cmp_gt_i32_e32 vcc, s4, v0",0,0,0,0,""
4,733064,"s_and_saveexec_b64 s[2:3], vcc",0,0,0,0,""
4,733068,"s_cbranch_execnz 68",0,0,0,0,""
4,733072,"s_or_b64 exec, exec, s[2:3]",0,0,0,0,""
4,733076,"v_cmp_gt_i32_e32 vcc, s4, v0",0,0,0,0,""
4,733080,"s_and_saveexec_b64 s[2:3], vcc",0,0,0,0,""
4,733084,"s_cbranch_execnz 77",0,0,0,0,""
4,733088,"s_or_b64 exec, exec, s[2:3]",0,0,0,0,""
4,733092,"v_cmp_gt_i32_e32 vcc, s4, v0",0,0,0,0,""
4,733096,"s_and_saveexec_b64 s[2:3], vcc",0,0,0,0,""
4,733100,"s_cbranch_execnz 87",0,0,0,0,""
4,733104,"s_or_b64 exec, exec, s[2:3]",0,0,0,0,""
4,733108,"v_cmp_gt_i32_e32 vcc, s4, v0",0,0,0,0,""
4,733112,"s_and_saveexec_b64 s[2:3], vcc",0,0,0,0,""
4,733116,"s_cbranch_execnz 97",0,0,0,0,""
4,733120,"s_or_b64 exec, exec, s[2:3]",0,0,0,0,""
4,733124,"v_cmp_gt_i32_e32 vcc, s4, v0",0,0,0,0,""
4,733128,"s_and_saveexec_b64 s[2:3], vcc",0,0,0,0,""
4,733132,"s_cbranch_execnz 107",0,0,0,0,""
4,733136,"s_or_b64 exec, exec, s[2:3]",0,0,0,0,""
4,733140,"v_cmp_gt_i32_e32 vcc, s4, v0",0,0,0,0,""
4,733144,"s_and_saveexec_b64 s[2:3], vcc",0,0,0,0,""
4,733148,"s_cbranch_execnz 117",0,0,0,0,""
4,733152,"s_or_b64 exec, exec, s[2:3]",0,0,0,0,""
4,733156,"v_cmp_gt_i32_e32 vcc, s4, v0",0,0,0,0,""
4,733160,"s_and_saveexec_b64 s[2:3], vcc",0,0,0,0,""
4,733164,"s_cbranch_execnz 127",0,0,0,0,""
4,733168,"s_or_b64 exec, exec, s[2:3]",0,0,0,0,""
4,733172,"v_cmp_gt_i32_e32 vcc, s4, v0",0,0,0,0,""
4,733176,"s_and_saveexec_b64 s[2:3], vcc",0,0,0,0,""
4,733180,"s_cbranch_execnz 137",0,0,0,0,""
4,733184,"s_or_b64 exec, exec, s[2:3]",0,0,0,0,""
4,733188,"v_cmp_gt_i32_e32 vcc, s4, v0",0,0,0,0,""
4,733192,"s_and_saveexec_b64 s[2:3], vcc",0,0,0,0,""
4,733196,"s_cbranch_execnz 147",0,0,0,0,""
4,733200,"s_or_b64 exec, exec, s[2:3]",0,0,0,0,""
4,733204,"v_cmp_gt_i32_e32 vcc, s4, v0",0,0,0,0,""
4,733208,"s_and_saveexec_b64 s[2:3], vcc",0,0,0,0,""
4,733212,"s_cbranch_execnz 157",0,0,0,0,""
4,733216,"s_or_b64 exec, exec, s[2:3]",0,0,0,0,""
4,733220,"v_cmp_gt_i32_e32 vcc, s4, v0",0,0,0,0,""
4,733224,"s_and_saveexec_b64 s[2:3], vcc",0,0,0,0,""
4,733228,"s_cbranch_execnz 167",0,0,0,0,""
4,733232,"s_or_b64 exec, exec, s[2:3]",0,0,0,0,""
4,733236,"v_cmp_gt_i32_e32 vcc, s4, v0",0,0,0,0,""
4,733240,"s_and_saveexec_b64 s[2:3], vcc",0,0,0,0,""
4,733244,"s_cbranch_execnz 177",0,0,0,0,""
4,733248,"s_or_b64 exec, exec, s[2:3]",0,0,0,0,""
4,733252,"v_cmp_gt_i32_e32 vcc, s4, v0",0,0,0,0,""
4,733256,"s_and_saveexec_b64 s[2:3], vcc",0,0,0,0,""
4,733260,"s_cbranch_execnz 187",0,0,0,0,""
