"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
3,1127936,"; _ZN2at6native29vectorized_elementwise_kernelILi8ENS0_13BUnaryFunctorIN3c108BFloat16ES4_S4_NS0_15binary_internal10MulFunctorIfEEEESt5arrayIPcLm2EEEEviT0_T1_",0,0,0,0,"void at::native::vectorized_elementwise_kernel<8, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)"
3,1127936,"s_load_dword s3, s[0:1], 0x0",52,444,236,5884,""
3,1127944,"s_load_dword s8, s[0:1], 0x8",52,364,156,0,""
3,1127952,"s_load_dwordx4 s[4:7], s[0:1], 0x10",52,208,0,0,""
3,1127960,"s_lshl_b32 s2, s2, 12",52,228,20,0,""
3,1127964,"s_mov_b64 s[0:1], -1",52,228,16,0,""
3,1127968,"s_waitcnt lgkmcnt(0)",52,5700,5700,0,""
3,1127972,"s_sub_i32 s9, s3, s2",52,336,128,0,""
3,1127976,"s_cmpk_gt_i32 s9, 0xfff",52,240,24,0,""
3,1127980,"s_cbranch_scc0 204",52,208,0,200,""
3,1127984,"s_ashr_i32 s3, s2, 31",52,244,36,0,""
3,1127988,"s_lshl_b64 s[0:1], s[2:3], 1",52,208,0,0,""
3,1127992,"s_add_u32 s10, s6, s0",52,292,84,0,""
3,1127996,"s_addc_u32 s11, s7, s1",52,260,48,0,""
3,1128000,"v_lshlrev_b32_e32 v10, 4, v0",52,1408,1192,8,""
3,1128004,"global_load_dwordx4 v[2:5], v10, s[10:11] nt",52,24624,24416,408,""
3,1128012,"v_mov_b32_e32 v11, 0",52,224,4,0,""
3,1128016,"v_lshl_add_u64 v[6:7], s[10:11], 0, v[10:11]",52,656,448,0,""
3,1128024,"v_add_co_u32_e32 v6, vcc, 0x1000, v6",52,212,0,0,""
3,1128032,"s_add_u32 s0, s4, s0",52,224,0,828,""
3,1128036,"s_nop 0",52,208,208,0,""
3,1128040,"v_addc_co_u32_e32 v7, vcc, 0, v7, vcc",52,216,0,0,""
3,1128044,"global_load_dwordx4 v[6:9], v[6:7], off nt",52,12816,12604,408,""
3,1128052,"s_addc_u32 s1, s5, s1",52,208,0,12,""
3,1128056,"s_movk_i32 s3, 0x7fff",52,208,0,0,""
3,1128060,"v_lshl_add_u64 v[12:13], s[0:1], 0, v[10:11]",52,520,312,0,""
3,1128068,"v_mov_b32_e32 v1, 0x7fc0",52,208,0,0,""
3,1128076,"s_mov_b32 s10, 0x5040100",52,216,4,0,""
3,1128084,"s_waitcnt vmcnt(1)",52,275756,275756,0,""
3,1128088,"v_and_b32_e32 v15, 0xffff0000, v3",52,220,12,0,""
3,1128096,"v_lshlrev_b32_e32 v14, 16, v3",52,1784,1576,0,""
3,1128100,"v_and_b32_e32 v3, 0xffff0000, v2",52,208,0,0,""
3,1128108,"v_lshlrev_b32_e32 v2, 16, v2",52,1172,964,0,""
3,1128112,"v_pk_mul_f32 v[2:3], s[8:9], v[2:3] op_sel_hi:[0,1]",52,416,208,0,""
3,1128120,"v_bfe_u32 v11, v2, 16, 1",52,208,0,0,""
3,1128128,"v_pk_mul_f32 v[14:15], s[8:9], v[14:15] op_sel_hi:[0,1]",52,208,0,0,""
3,1128136,"v_bfe_u32 v18, v3, 16, 1",52,256,48,0,""
3,1128144,"v_add3_u32 v11, v2, v11, s3",52,240,32,0,""
3,1128152,"v_and_b32_e32 v17, 0xffff0000, v5",52,208,0,0,""
3,1128160,"v_lshlrev_b32_e32 v16, 16, v5",52,304,96,0,""
3,1128164,"v_and_b32_e32 v5, 0xffff0000, v4",52,208,0,0,""
3,1128172,"v_lshlrev_b32_e32 v4, 16, v4",52,268,60,0,""
3,1128176,"v_bfe_u32 v19, v14, 16, 1",52,212,4,0,""
3,1128184,"v_add3_u32 v26, v3, v18, s3",52,208,0,0,""
3,1128192,"v_lshrrev_b32_e32 v11, 16, v11",52,208,0,0,""
3,1128196,"v_cmp_o_f32_e32 vcc, v2, v2",52,224,16,0,""
3,1128200,"v_pk_mul_f32 v[4:5], s[8:9], v[4:5] op_sel_hi:[0,1]",52,208,0,0,""
3,1128208,"v_bfe_u32 v20, v15, 16, 1",52,464,256,0,""
3,1128216,"v_add3_u32 v25, v14, v19, s3",52,272,64,0,""
3,1128224,"v_lshrrev_b32_e32 v26, 16, v26",52,208,0,0,""
3,1128228,"v_cndmask_b32_e32 v2, v1, v11, vcc",52,208,0,0,""
3,1128232,"v_cmp_o_f32_e32 vcc, v3, v3",52,208,0,0,""
3,1128236,"v_bfe_u32 v21, v4, 16, 1",52,312,104,0,""
3,1128244,"v_add3_u32 v20, v15, v20, s3",52,272,64,0,""
3,1128252,"v_lshrrev_b32_e32 v25, 16, v25",52,208,0,0,""
3,1128256,"v_cndmask_b32_e32 v11, v1, v26, vcc",52,208,0,0,""
3,1128260,"v_cmp_o_f32_e32 vcc, v14, v14",52,208,0,0,""
3,1128264,"v_pk_mul_f32 v[16:17], s[8:9], v[16:17] op_sel_hi:[0,1]",52,224,16,0,""
3,1128272,"v_bfe_u32 v22, v5, 16, 1",52,464,256,0,""
3,1128280,"v_add3_u32 v21, v4, v21, s3",52,276,68,0,""
3,1128288,"v_lshrrev_b32_e32 v20, 16, v20",52,212,4,0,""
3,1128292,"v_cndmask_b32_e32 v3, v1, v25, vcc",52,208,0,0,""
3,1128296,"v_cmp_o_f32_e32 vcc, v15, v15",52,284,76,0,""
3,1128300,"v_bfe_u32 v23, v16, 16, 1",52,292,84,0,""
3,1128308,"v_add3_u32 v22, v5, v22, s3",52,208,0,0,""
3,1128316,"v_lshrrev_b32_e32 v21, 16, v21",52,208,0,0,""
3,1128320,"v_cndmask_b32_e32 v14, v1, v20, vcc",52,208,0,0,""
3,1128324,"v_cmp_o_f32_e32 vcc, v4, v4",52,312,104,0,""
3,1128328,"v_bfe_u32 v24, v17, 16, 1",52,276,68,0,""
3,1128336,"v_add3_u32 v23, v16, v23, s3",52,212,4,0,""
3,1128344,"v_lshrrev_b32_e32 v22, 16, v22",52,208,0,0,""
3,1128348,"v_cndmask_b32_e32 v4, v1, v21, vcc",52,208,0,0,""
3,1128352,"v_cmp_o_f32_e32 vcc, v5, v5",52,224,16,0,""
3,1128356,"v_add3_u32 v24, v17, v24, s3",52,208,0,0,""
3,1128364,"s_waitcnt vmcnt(0)",52,60348,60348,0,""
3,1128368,"v_and_b32_e32 v19, 0xffff0000, v7",52,212,4,0,""
3,1128376,"v_lshlrev_b32_e32 v18, 16, v7",52,296,88,0,""
3,1128380,"v_and_b32_e32 v7, 0xffff0000, v6",52,208,0,0,""
3,1128388,"v_lshlrev_b32_e32 v6, 16, v6",52,208,0,0,""
3,1128392,"v_lshrrev_b32_e32 v23, 16, v23",52,208,0,0,""
3,1128396,"v_cndmask_b32_e32 v15, v1, v22, vcc",52,232,24,0,""
3,1128400,"v_cmp_o_f32_e32 vcc, v16, v16",52,288,80,0,""
3,1128404,"v_lshrrev_b32_e32 v24, 16, v24",52,208,0,0,""
3,1128408,"v_pk_mul_f32 v[6:7], s[8:9], v[6:7] op_sel_hi:[0,1]",52,276,68,0,""
3,1128416,"v_cndmask_b32_e32 v5, v1, v23, vcc",52,208,0,0,""
3,1128420,"v_cmp_o_f32_e32 vcc, v17, v17",52,208,0,0,""
3,1128424,"v_bfe_u32 v17, v6, 16, 1",52,208,0,0,""
3,1128432,"v_pk_mul_f32 v[18:19], s[8:9], v[18:19] op_sel_hi:[0,1]",52,224,16,0,""
3,1128440,"v_cndmask_b32_e32 v16, v1, v24, vcc",52,208,0,0,""
3,1128444,"v_bfe_u32 v20, v7, 16, 1",52,216,8,0,""
3,1128452,"v_perm_b32 v5, v16, v5, s10",52,208,0,0,""
3,1128460,"v_perm_b32 v4, v15, v4, s10",52,208,0,0,""
3,1128468,"v_perm_b32 v3, v14, v3, s10",52,208,0,0,""
3,1128476,"v_perm_b32 v2, v11, v2, s10",52,208,0,208,""
3,1128484,"v_add3_u32 v16, v6, v17, s3",52,304,96,0,""
3,1128492,"v_bfe_u32 v21, v18, 16, 1",52,272,64,0,""
3,1128500,"v_add3_u32 v15, v7, v20, s3",52,212,0,0,""
3,1128508,"global_store_dwordx4 v10, v[2:5], s[0:1]",52,61212,61000,412,""
3,1128516,"v_cmp_o_f32_e32 vcc, v6, v6",52,264,56,0,""
3,1128520,"v_bfe_u32 v22, v19, 16, 1",52,464,256,0,""
3,1128528,"v_lshrrev_b32_e32 v2, 16, v16",52,208,0,0,""
3,1128532,"v_add3_u32 v14, v18, v21, s3",52,212,4,0,""
3,1128540,"v_lshrrev_b32_e32 v3, 16, v15",52,208,0,0,""
3,1128544,"v_cndmask_b32_e32 v6, v1, v2, vcc",52,272,64,0,""
3,1128548,"v_cmp_o_f32_e32 vcc, v7, v7",52,208,0,0,""
3,1128552,"v_add3_u32 v11, v19, v22, s3",52,208,0,0,""
3,1128560,"v_lshrrev_b32_e32 v4, 16, v14",52,208,0,0,""
3,1128564,"v_cndmask_b32_e32 v7, v1, v3, vcc",52,208,0,0,""
3,1128568,"v_cmp_o_f32_e32 vcc, v18, v18",52,208,0,0,""
3,1128572,"v_lshrrev_b32_e32 v5, 16, v11",52,208,0,0,""
3,1128576,"v_and_b32_e32 v3, 0xffff0000, v9",52,208,0,0,""
3,1128584,"v_cndmask_b32_e32 v10, v1, v4, vcc",52,208,0,0,""
3,1128588,"v_cmp_o_f32_e32 vcc, v19, v19",52,208,0,0,""
3,1128592,"v_lshlrev_b32_e32 v4, 16, v8",52,208,0,0,""
3,1128596,"v_lshlrev_b32_e32 v2, 16, v9",52,208,0,0,""
3,1128600,"v_cndmask_b32_e32 v11, v1, v5, vcc",52,208,0,0,""
3,1128604,"v_and_b32_e32 v5, 0xffff0000, v8",52,208,0,0,""
3,1128612,"v_pk_mul_f32 v[4:5], s[8:9], v[4:5] op_sel_hi:[0,1]",52,208,0,0,""
3,1128620,"v_bfe_u32 v8, v4, 16, 1",52,208,0,0,""
3,1128628,"v_pk_mul_f32 v[2:3], s[8:9], v[2:3] op_sel_hi:[0,1]",52,208,0,0,""
3,1128636,"v_bfe_u32 v9, v5, 16, 1",52,208,0,208,""
3,1128644,"v_add3_u32 v8, v4, v8, s3",52,208,0,0,""
3,1128652,"v_cmp_o_f32_e32 vcc, v4, v4",52,208,0,0,""
3,1128656,"v_bfe_u32 v14, v2, 16, 1",52,208,0,0,""
3,1128664,"v_add3_u32 v9, v5, v9, s3",52,208,0,0,""
3,1128672,"v_cndmask_b32_sdwa v4, v1, v8, vcc dst_sel:DWORD dst_unused:UNUSED_PAD src0_sel:DWORD src1_sel:WORD_1",52,208,0,0,""
3,1128680,"v_cmp_o_f32_e32 vcc, v5, v5",52,208,0,0,""
3,1128684,"v_bfe_u32 v15, v3, 16, 1",52,208,0,0,""
3,1128692,"v_add3_u32 v14, v2, v14, s3",52,208,0,0,""
3,1128700,"v_cndmask_b32_sdwa v8, v1, v9, vcc dst_sel:DWORD dst_unused:UNUSED_PAD src0_sel:DWORD src1_sel:WORD_1",52,208,0,0,""
3,1128708,"v_cmp_o_f32_e32 vcc, v2, v2",52,208,0,0,""
3,1128712,"v_add3_u32 v15, v3, v15, s3",52,208,0,0,""
3,1128720,"v_perm_b32 v4, v8, v4, s10",52,208,0,0,""
3,1128728,"v_cndmask_b32_sdwa v2, v1, v14, vcc dst_sel:DWORD dst_unused:UNUSED_PAD src0_sel:DWORD src1_sel:WORD_1",52,208,0,0,""
3,1128736,"v_cmp_o_f32_e32 vcc, v3, v3",52,208,0,0,""
3,1128740,"v_perm_b32 v3, v11, v10, s10",52,212,4,0,""
3,1128748,"s_mov_b64 s[0:1], 0",52,208,0,620,""
3,1128752,"v_cndmask_b32_sdwa v1, v1, v15, vcc dst_sel:DWORD dst_unused:UNUSED_PAD src0_sel:DWORD src1_sel:WORD_1",52,208,0,0,""
3,1128760,"v_perm_b32 v5, v1, v2, s10",52,208,0,0,""
3,1128768,"v_perm_b32 v2, v7, v6, s10",52,212,4,0,""
3,1128776,"v_add_co_u32_e32 v6, vcc, 0x1000, v12",52,212,0,0,""
3,1128784,"s_nop 1",52,412,412,0,""
3,1128788,"v_addc_co_u32_e32 v7, vcc, 0, v13, vcc",52,212,0,0,""
3,1128792,"global_store_dwordx4 v[6:7], v[2:5], off",52,43140,42920,412,""
3,1128800,"s_andn2_b64 vcc, exec, s[0:1]",52,252,4,28,""
3,1128804,"s_cbranch_vccnz 549",52,248,0,168,""
3,1128808,"v_cmp_gt_i32_e64 s[0:1], s9, v0",0,0,0,0,""
3,1128816,"v_mov_b32_e32 v1, 0",0,0,0,0,""
3,1128820,"v_or_b32_e32 v2, s2, v0",0,0,0,0,""
3,1128824,"v_mov_b32_e32 v5, 0",0,0,0,0,""
3,1128828,"v_mov_b32_e32 v17, v0",0,0,0,0,""
3,1128832,"s_and_saveexec_b64 s[10:11], s[0:1]",0,0,0,0,""
3,1128836,"s_cbranch_execz 9",0,0,0,0,""
3,1128840,"v_mov_b32_e32 v3, 0",0,0,0,0,""
3,1128844,"v_lshl_add_u64 v[4:5], v[2:3], 1, s[6:7]",0,0,0,0,""
3,1128852,"global_load_ushort v3, v[4:5], off",0,0,0,0,""
3,1128860,"v_or_b32_e32 v17, 0x100, v0",0,0,0,0,""
3,1128868,"s_waitcnt vmcnt(0)",0,0,0,0,""
3,1128872,"v_lshlrev_b32_e32 v5, 16, v3",0,0,0,0,""
3,1128876,"s_or_b64 exec, exec, s[10:11]",0,0,0,0,""
3,1128880,"v_cmp_gt_i32_e32 vcc, s9, v17",0,0,0,0,""
3,1128884,"s_and_saveexec_b64 s[10:11], vcc",0,0,0,0,""
3,1128888,"s_cbranch_execz 10",0,0,0,0,""
3,1128892,"v_add_u32_e32 v6, s2, v17",0,0,0,0,""
3,1128896,"v_mov_b32_e32 v7, 0",0,0,0,0,""
3,1128900,"v_lshl_add_u64 v[6:7], v[6:7], 1, s[6:7]",0,0,0,0,""
3,1128908,"global_load_ushort v1, v[6:7], off",0,0,0,0,""
3,1128916,"v_add_u32_e32 v17, 0x100, v17",0,0,0,0,""
3,1128924,"s_waitcnt vmcnt(0)",0,0,0,0,""
3,1128928,"v_lshlrev_b32_e32 v1, 16, v1",0,0,0,0,""
3,1128932,"s_or_b64 exec, exec, s[10:11]",0,0,0,0,""
3,1128936,"v_cmp_gt_i32_e32 vcc, s9, v17",0,0,0,0,""
3,1128940,"v_mov_b32_e32 v3, 0",0,0,0,0,""
3,1128944,"v_mov_b32_e32 v8, 0",0,0,0,0,""
3,1128948,"s_and_saveexec_b64 s[10:11], vcc",0,0,0,0,""
3,1128952,"s_cbranch_execz 10",0,0,0,0,""
3,1128956,"v_add_u32_e32 v6, s2, v17",0,0,0,0,""
3,1128960,"v_mov_b32_e32 v7, 0",0,0,0,0,""
3,1128964,"v_lshl_add_u64 v[6:7], v[6:7], 1, s[6:7]",0,0,0,0,""
3,1128972,"global_load_ushort v4, v[6:7], off",0,0,0,0,""
3,1128980,"v_add_u32_e32 v17, 0x100, v17",0,0,0,0,""
3,1128988,"s_waitcnt vmcnt(0)",0,0,0,0,""
3,1128992,"v_lshlrev_b32_e32 v8, 16, v4",0,0,0,0,""
3,1128996,"s_or_b64 exec, exec, s[10:11]",0,0,0,0,""
3,1129000,"v_cmp_gt_i32_e32 vcc, s9, v17",0,0,0,0,""
3,1129004,"s_and_saveexec_b64 s[10:11], vcc",0,0,0,0,""
3,1129008,"s_cbranch_execz 10",0,0,0,0,""
3,1129012,"v_add_u32_e32 v6, s2, v17",0,0,0,0,""
3,1129016,"v_mov_b32_e32 v7, 0",0,0,0,0,""
3,1129020,"v_lshl_add_u64 v[6:7], v[6:7], 1, s[6:7]",0,0,0,0,""
3,1129028,"global_load_ushort v3, v[6:7], off",0,0,0,0,""
3,1129036,"v_add_u32_e32 v17, 0x100, v17",0,0,0,0,""
3,1129044,"s_waitcnt vmcnt(0)",0,0,0,0,""
3,1129048,"v_lshlrev_b32_e32 v3, 16, v3",0,0,0,0,""
3,1129052,"s_or_b64 exec, exec, s[10:11]",0,0,0,0,""
3,1129056,"v_cmp_gt_i32_e32 vcc, s9, v17",0,0,0,0,""
3,1129060,"v_mov_b32_e32 v4, 0",0,0,0,0,""
3,1129064,"v_mov_b32_e32 v10, 0",0,0,0,0,""
3,1129068,"s_and_saveexec_b64 s[10:11], vcc",0,0,0,0,""
3,1129072,"s_cbranch_execz 10",0,0,0,0,""
3,1129076,"v_add_u32_e32 v6, s2, v17",0,0,0,0,""
3,1129080,"v_mov_b32_e32 v7, 0",0,0,0,0,""
3,1129084,"v_lshl_add_u64 v[6:7], v[6:7], 1, s[6:7]",0,0,0,0,""
3,1129092,"global_load_ushort v6, v[6:7], off",0,0,0,0,""
3,1129100,"v_add_u32_e32 v17, 0x100, v17",0,0,0,0,""
3,1129108,"s_waitcnt vmcnt(0)",0,0,0,0,""
3,1129112,"v_lshlrev_b32_e32 v10, 16, v6",0,0,0,0,""
3,1129116,"s_or_b64 exec, exec, s[10:11]",0,0,0,0,""
3,1129120,"v_cmp_gt_i32_e32 vcc, s9, v17",0,0,0,0,""
3,1129124,"s_and_saveexec_b64 s[10:11], vcc",0,0,0,0,""
3,1129128,"s_cbranch_execz 10",0,0,0,0,""
3,1129132,"v_add_u32_e32 v6, s2, v17",0,0,0,0,""
3,1129136,"v_mov_b32_e32 v7, 0",0,0,0,0,""
3,1129140,"v_lshl_add_u64 v[6:7], v[6:7], 1, s[6:7]",0,0,0,0,""
3,1129148,"global_load_ushort v4, v[6:7], off",0,0,0,0,""
3,1129156,"v_add_u32_e32 v17, 0x100, v17",0,0,0,0,""
3,1129164,"s_waitcnt vmcnt(0)",0,0,0,0,""
3,1129168,"v_lshlrev_b32_e32 v4, 16, v4",0,0,0,0,""
3,1129172,"s_or_b64 exec, exec, s[10:11]",0,0,0,0,""
3,1129176,"v_cmp_gt_i32_e32 vcc, s9, v17",0,0,0,0,""
3,1129180,"v_mov_b32_e32 v6, 0",0,0,0,0,""
3,1129184,"v_mov_b32_e32 v12, 0",0,0,0,0,""
3,1129188,"s_and_saveexec_b64 s[10:11], vcc",0,0,0,0,""
3,1129192,"s_cbranch_execz 10",0,0,0,0,""
3,1129196,"v_add_u32_e32 v12, s2, v17",0,0,0,0,""
3,1129200,"v_mov_b32_e32 v13, 0",0,0,0,0,""
3,1129204,"v_lshl_add_u64 v[12:13], v[12:13], 1, s[6:7]",0,0,0,0,""
3,1129212,"global_load_ushort v7, v[12:13], off",0,0,0,0,""
3,1129220,"v_add_u32_e32 v17, 0x100, v17",0,0,0,0,""
3,1129228,"s_waitcnt vmcnt(0)",0,0,0,0,""
3,1129232,"v_lshlrev_b32_e32 v12, 16, v7",0,0,0,0,""
3,1129236,"s_or_b64 exec, exec, s[10:11]",0,0,0,0,""
3,1129240,"v_cmp_gt_i32_e32 vcc, s9, v17",0,0,0,0,""
3,1129244,"s_and_saveexec_b64 s[10:11], vcc",0,0,0,0,""
3,1129248,"s_cbranch_execz 10",0,0,0,0,""
3,1129252,"v_add_u32_e32 v6, s2, v17",0,0,0,0,""
3,1129256,"v_mov_b32_e32 v7, 0",0,0,0,0,""
3,1129260,"v_lshl_add_u64 v[6:7], v[6:7], 1, s[6:7]",0,0,0,0,""
3,1129268,"global_load_ushort v6, v[6:7], off",0,0,0,0,""
3,1129276,"v_add_u32_e32 v17, 0x100, v17",0,0,0,0,""
3,1129284,"s_waitcnt vmcnt(0)",0,0,0,0,""
3,1129288,"v_lshlrev_b32_e32 v6, 16, v6",0,0,0,0,""
3,1129292,"s_or_b64 exec, exec, s[10:11]",0,0,0,0,""
3,1129296,"v_cmp_gt_i32_e32 vcc, s9, v17",0,0,0,0,""
3,1129300,"v_mov_b32_e32 v7, 0",0,0,0,0,""
3,1129304,"v_mov_b32_e32 v14, 0",0,0,0,0,""
3,1129308,"s_and_saveexec_b64 s[10:11], vcc",0,0,0,0,""
3,1129312,"s_cbranch_execz 10",0,0,0,0,""
3,1129316,"v_add_u32_e32 v14, s2, v17",0,0,0,0,""
3,1129320,"v_mov_b32_e32 v15, 0",0,0,0,0,""
3,1129324,"v_lshl_add_u64 v[14:15], v[14:15], 1, s[6:7]",0,0,0,0,""
3,1129332,"global_load_ushort v9, v[14:15], off",0,0,0,0,""
3,1129340,"v_add_u32_e32 v17, 0x100, v17",0,0,0,0,""
3,1129348,"s_waitcnt vmcnt(0)",0,0,0,0,""
3,1129352,"v_lshlrev_b32_e32 v14, 16, v9",0,0,0,0,""
